clean_date,hour,pm 2.5 (Plume AQI),pm 10 (Plume AQI)
2020-02-27,9,14.7,26.6
2020-02-27,10,31.0,42.0
2020-02-27,11,29.1,40.4
2020-02-27,12,33.0,30.0
2020-02-27,13,29.3,24.0
2020-02-27,14,23.0,21.0
2020-02-27,15,23.2,21.7
2020-02-27,16,15.9,18.6
2020-02-27,17,12.1,17.7
2020-02-27,18,25.2,25.2
2020-02-27,19,50.8,86.3
2020-02-27,20,30.1,32.5
2020-02-27,21,22.2,26.9
2020-02-27,22,16.6,21.0
2020-02-27,23,9.2,18.9
2020-02-28,0,7.1,16.5
2020-02-28,1,5.6,13.8
2020-02-28,2,5.3,12.6
