unique_code,price,AREA_SIZE,calculated_sqm,x,y,price_per_sqm
94ΧΡΩΚΨ-3ΙΧ,29358.55,1894.102,1425.3421865786522,2864389.4866999984,4197845.660600003,15.0
9565Η-968,510.18,106.42,130.45250828995074,2518209.1449999996,4865054.01145,5.0
95Γ5Η-0Μ1,980.4,32.68,54.40095446251718,2607309.0047000013,4579706.531000003,30.0
95ΓΓΗ-5ΡΔ,4523.0724,217.91,71.9609456368548,3126848.163800001,4313544.066500001,21.0
95ΔΡΗ-ΧΦΠ,3200.0,400.0,683.2461241276328,2514927.3751999997,4868315.4463,8.0
95ΔΩΩΡ8-ΧΕ7,7440.0,892.0,741.1180116136688,2880533.6729499996,4166905.2325999998,8.0
95Ζ9Ω1Ψ-Α2Ω,500.0,50.0,76.14051379040384,2710850.0720000006,4211707.2946000025,10.0
95Π4Ω6Τ-4ΦΞ,4760.0,350.0,531.2761039331908,2715940.909600001,4189465.598899998,14.0
95Ψ7Η-0Ξ3,7106.4,177.66,299.8425896886522,2211650.9761000015,4824767.933399998,40.0
95ΨΕΗ-ΣΡ8,1657.6,1000.0,856.4778558480679,2512196.2246499993,4878834.302549999,2.0
960ΤΗ-7ΗΤ,557.28,344.94,280.460249738468,2452554.145399999,4619590.362049997,2.0
961ΥΩ9Ω-6Ξ1,4250.0,500.0,870.467098495952,2640533.2699000016,4962601.065300003,8.0
962ΔΗ-ΓΙ4,2100.0,300.0,501.2058156748813,2293798.5720000006,4767668.510499999,7.0
962ΤΗ-ΛΗΛ,3449.25,50.0,78.04431662819164,2564459.5802999996,4395770.609499998,69.0
9637Η-ΛΕΦ,4692.1875,341.25,535.637225886034,2465709.6681500003,4436229.616599999,14.0
963ΝΩΨΙ-ΩΝΝ,7296.0,1020.0,824.2254598670041,2748865.9120000005,4571134.797350001,7.0
9652ΩΗ6-ΓΩΜ,2176.2,186.0,296.46993511915133,2807247.555399999,4513658.306699999,12.0
965ΔΩΗΜ-ΒΕΥ,14808.0,3702.0,1857.1204830186193,2834517.215766667,4203829.690799999,4.0
966ΓΩΕΥ-Ν99,270.0,27.0,46.82456021273472,2367855.502700001,4942058.8955999985,10.0
969ΞΩΛΝ-3Ω5,1088.46,60.47,97.3077487272464,2675007.0801,4560956.5634,18.0
96ΑΘΩΗ5-Φ5Λ,1026.18,57.011,86.32676051130932,2672559.1378000006,4234109.143399999,18.0
96ΒΙ46ΜΦΟ8-ΘΑΕ,1000.0,100.0,163.07014158857834,2970661.021400001,4538423.002700001,10.0
96ΓΕΩΛΣ-Λ0Λ,1000.0,20.0,30.5892955866959,2785076.146899998,4220654.395199999,50.0
96ΓΩΗ-1ΔΤ,1150.0,100.0,160.346223427133,2968100.143599998,4549707.529600002,12.0
96ΔΚΗ-ΝΔ1,23457.23,499.09,785.805308297699,2822543.7402999997,4448692.9001,47.0
96ΔΩΩΛΣ-ΑΡ1,2000.0,20.0,33.185220089978195,2777803.889899999,4218736.7192,100.0
96ΕΣΗ-ΩΙ8,250.0,250.0,421.9595895297202,2190334.4981999993,4825235.756800003,1.0
96ΖΑΗ-Ο2Ν,5992.4400000000005,499.37,857.0319393805717,2640029.719700001,4891602.537600003,12.0
96ΘΑΩΡ4-Ο6Η,19580.0,356.0,552.447408032076,2558212.6347000003,4365100.364200003,55.0
96Κ1Η-Ο7Δ,1017.24,72.661,125.80056832627596,2552217.9310000017,4940323.375699997,14.0
96ΝΚΩΕΤ-8ΑΑ,6000.0,500.0,861.5059069477545,2515891.272999998,4905811.597599998,12.0
96Ξ7Ω1Σ-ΔΣ5,1744.0,218.061,360.10518475655385,2734617.1732,4698887.561099999,8.0
96ΞΩΗ-Ε9Δ,432.0,48.0,79.37449231901967,2560965.790600002,4704768.265699998,9.0
96ΟΕΩ92-ΨΝ2,720.0,120.0,196.8415630102704,2618975.4913999997,4661376.574199997,6.0
96Ρ0Η-Ω0Ν,849.0,135.42000000000002,102.2290871457659,2759203.05325,4219303.786650002,6.0
96ΣΓ46ΜΦΟΤ-Α2Η,1620.0,270.0,215.9499246779917,3001571.6886,4536286.780250002,6.0
96ΤΕΩ1Ψ-6Β8,4992.900000000001,499.291,752.8012087972049,2709186.0623999983,4211706.1457,10.0
96ΤΛΩΛΜ-ΙΘΕ,8151.299999999999,271.711,439.5541577801275,2671219.7831999995,4589567.270400003,30.0
96ΤΠΩΕΤ-ΥΣΜ,2580.0,215.0,369.9207220520099,2515735.5977,4905417.576899998,12.0
96Υ2Η-5ΡΓ,2775.5699999999997,396.51,622.3196370653789,2410654.7760999985,4436241.5515,7.0
96ΩΗΗ-ΡΝΘ,1898.43,101.25,163.09616937254782,2551516.085900001,4571004.211800002,19.0
96ΩΛΩΚΞ-ΘΓ9,2000.0,100.0,151.06073566453176,2759071.1427999996,4220702.942599997,20.0
9719Η-ΜΩ4,3525.0,235.0,353.8429006818053,2828609.892499998,4205653.995999999,15.0
971ΠΗ-6ΛΜ,13284.0,1107.0,1666.6232454291148,2828328.660100002,4205733.456600003,12.0
974ΖΩ9Δ-ΓΨ6,11550.0,1050.0,1791.5017871721907,2519731.1281999983,4863884.170000002,11.0
976ΡΗ-Ξ4Ε,2500.0,1000.0,814.4151644059241,2488984.206599999,4628584.738449998,2.0
976ΨΗ-Ρ2Ρ,3750.0,250.0,396.0750415856804,2577823.6794000007,4483545.143799998,15.0
9770Η-Ψ6Υ,1044.0,87.0,131.51155583258196,2828863.1983999982,4205573.982000001,12.0
9777ΩΨΙ-627,2306.4,342.202,139.0228797007619,2759705.3246,4557963.806400001,7.0
979ΠΗ-Ι6Δ,450.0,30.0,51.61968709373048,2516261.2672000006,4906751.851499997,15.0
979ΥΗ-9Ο0,3366.6666666666665,500.0,798.909052301856,2372833.814399998,4539320.2858000025,7.0
